FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,ConversionFactorValue
1200,1461,55g,55g,0.55000
1202,245,1 slice,1 tranche,0.28000
1202,341,100ml,100ml,0.62130
1202,403,2 slices,2 tranches,0.56700
1202,415,250ml,250ml,1.55325
1202,1461,55g,55g,0.55000
1202,1496,75g,75g,0.75000
1207,245,1 slice,1 tranche,0.06100
1207,363,100ml pieces,100ml morceaux,0.59172
1207,1146,250ml pieces,250ml morceaux,1.47929
1207,1461,55g,55g,0.55000
1207,1496,75g,75g,0.75000
1212,245,1 slice,1 tranche,0.25200
1212,363,100ml pieces,100ml morceaux,0.59172
1212,1146,250ml pieces,250ml morceaux,1.47929
1212,1461,55g,55g,0.55000
1216,245,1 slice,1 tranche,0.32000
1216,348,100ml diced,100ml en dés,0.58326
1216,976,250ml diced,250ml en dés,1.45816
1216,1461,55g,55g,0.55000
1216,1496,75g,75g,0.75000
1217,1461,55g,55g,0.55000
1217,502621,1/9 package,1/9 emballage,0.50000
1220,245,1 slice,1 tranche,0.22400
1220,348,100ml diced,100ml en dés,0.57060
1220,976,250ml diced,250ml en dés,1.42650
1220,1461,55g,55g,0.55000
1220,1496,75g,75g,0.75000
1222,341,100ml,100ml,0.51564
1222,415,250ml,250ml,1.28909
1222,1454,30g,30g,0.30000
1222,1461,55g,55g,0.55000
1223,341,100ml,100ml,0.47760
1223,385,15ml,15ml,0.07160
1223,415,250ml,250ml,1.19400
1223,1454,30g,30g,0.30000
1223,1467,15g,15g,0.15000
1224,341,100ml,100ml,0.76082
1224,383,125ml,125ml,0.95102
1224,415,250ml,250ml,1.90204
1224,1456,40g,40g,0.40000
1225,341,100ml,100ml,1.03128
1225,389,175ml,175ml,1.80000
1225,415,250ml,250ml,2.57819
1228,341,100ml,100ml,0.65934
1228,415,250ml,250ml,1.64835
1228,1456,40g,40g,0.40000
1229,341,100ml,100ml,1.02282
1229,389,175ml,175ml,1.79000
1229,415,250ml,250ml,2.55706
1230,932,80ml,80ml,0.30000
1230,1454,30g,30g,0.30000
1230,1461,55g,55g,0.55000
1231,341,100ml,100ml,0.13525
1231,415,250ml,250ml,0.33812
1231,1454,30g,30g,0.30000
1232,274,1 small box,1 petite bôite,0.35000
1232,341,100ml,100ml,0.12680
1232,415,250ml,250ml,0.31699
1232,1454,30g,30g,0.30000
1235,341,100ml,100ml,0.13148
1235,415,250ml,250ml,0.32870
1235,1454,30g,30g,0.30000
1236,341,100ml,100ml,0.16910
1236,389,175ml,175ml,0.29590
1236,415,250ml,250ml,0.42265
1236,1454,30g,30g,0.30000
1238,341,100ml,100ml,0.24091
1238,389,175ml,175ml,0.42160
1238,415,250ml,250ml,0.60228
1238,1454,30g,30g,0.30000
1238,1461,55g,55g,0.55000
1239,341,100ml,100ml,0.23246
1239,383,125ml,125ml,0.29058
1239,389,175ml,175ml,0.40680
1239,415,250ml,250ml,0.58115
1239,1454,30g,30g,0.30000
1239,1461,55g,55g,0.55000
1240,341,100ml,100ml,0.37378
1240,383,125ml,125ml,0.46723
1240,415,250ml,250ml,0.93445
1240,428,30ml,30ml,0.11210
1240,1454,30g,30g,0.30000
1240,1461,55g,55g,0.55000
1242,341,100ml,100ml,0.10566
1242,345,100ml crumbs,100ml miettes,0.37162
1242,415,250ml,250ml,0.26416
1242,1454,30g,30g,0.30000
1244,399,2 muffets,2 muffets,0.42000
1244,1454,30g,30g,0.30000
