FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,ConversionFactorValue
2495,1219,1 large (10cm long),1 gros (10cm long),1.35000
2495,1220,1 medium (9.5cm long),1 moyen  (9.5cm long),0.65000
2495,1454,30g,30g,0.30000
2496,245,1 slice,1 tranche,0.01000
2496,341,100ml,100ml,0.81150
2496,383,125ml,125ml,1.01437
2496,415,250ml,250ml,2.02874
2497,190,1 pickle,1 cornichon,0.65000
2497,245,1 slice,1 tranche,0.06000
2497,1454,30g,30g,0.30000
2498,341,100ml,100ml,1.01437
2498,383,125ml,125ml,1.26796
2498,385,15ml,15ml,0.15203
2498,415,250ml,250ml,2.53593
2498,801,1 packet (individual),1 paquet (individuel),0.09000
2499,341,100ml,100ml,0.06340
2499,383,125ml,125ml,0.07925
2499,415,250ml,250ml,0.15850
2499,640,60ml,60ml,0.03804
2499,1467,15g,15g,0.15000
2500,14,1 beet (5 cm dia),1 betterave (5 cm dia),0.82000
2500,341,100ml,100ml,0.57481
2500,383,125ml,125ml,0.71851
2500,415,250ml,250ml,1.43702
2500,1470,85g,85g,0.85000
2501,14,1 beet (5 cm dia),1 betterave (5 cm dia),0.50000
2501,371,100ml slices,100ml tranches,0.71851
2501,971,125ml slices,125ml tranches,0.89814
2501,979,250ml slices,250ml tranches,1.79628
2501,1470,85g,85g,0.85000
2502,1470,85g,85g,0.85000
2505,218,1 potato (6.3cm dia),1 pomme de terre (6.3cm dia),1.50000
2505,348,100ml diced,100ml en dés,0.63398
2505,968,125ml diced,125ml en dés,0.79248
2505,976,250ml diced,250ml en dés,1.58495
2505,1274,1 large (7.6cm to 10.8cm dia),1 gros (7.6cm à 10.8cm dia),3.69000
2505,1275,1 medium (5.7cm to 8.3cm dia),1 moyen (5.7cm à 8.3cm dia),2.13000
2505,1276,1 small (4.4cm to 6.4cm dia),1 petit (4.4cm à 6.4cm dia),1.70000
2505,1482,110g,110g,1.10000
2506,218,1 potato (6.3cm dia),1 pomme de terre (6.3cm dia),1.50000
2506,341,100ml,100ml,0.65940
2506,383,125ml,125ml,0.82420
2506,415,250ml,250ml,1.64840
2506,1482,110g,110g,1.10000
2506,1501,1/2 medium,1/2 moyen,0.75000
2507,1454,30g,30g,0.30000
2508,1454,30g,30g,0.30000
2509,452,8-14 seeds,8-14 graines,0.28350
2509,1454,30g,30g,0.30000
2510,341,100ml,100ml,0.67625
2510,383,125ml,125ml,0.84531
2510,640,60ml,60ml,0.40575
2510,1454,30g,30g,0.30000
2511,341,100ml,100ml,0.72027
2511,383,125ml,125ml,0.90034
2511,385,15ml,15ml,0.10804
2511,640,60ml,60ml,0.43216
2511,1454,30g,30g,0.30000
2512,341,100ml,100ml,0.39730
2512,385,15ml,15ml,0.05068
2512,640,60ml,60ml,0.23838
2512,1467,15g,15g,0.15000
2512,1494,20g,20g,0.20000
2513,867,1 serving,1 portion,0.20000
2513,1467,15g,15g,0.15000
2514,867,1 serving,1 portion,0.20000
2514,1454,30g,30g,0.30000
2515,341,100ml,100ml,0.13525
2515,383,125ml,125ml,0.16906
2515,637,50 seeds,50 graines,0.33750
2515,640,60ml,60ml,0.08115
2515,1454,30g,30g,0.30000
2516,341,100ml,100ml,0.58326
2516,383,125ml,125ml,0.72908
2516,609,100 kernels,100 graines / noix,0.19965
2516,640,60ml,60ml,0.34996
2516,1454,30g,30g,0.30000
2517,341,100ml,100ml,0.95943
2517,383,125ml,125ml,2.39856
2517,640,60ml,60ml,0.57566
2517,1454,30g,30g,0.30000
2518,1454,30g,30g,0.30000
2519,867,1 serving,1 portion,0.20000
2519,1454,30g,30g,0.30000
2521,341,100ml,100ml,0.63398
2521,385,15ml,15ml,0.09510
2521,640,60ml,60ml,0.38040
2521,1454,30g,30g,0.30000
2522,341,100ml,100ml,0.54100
2522,383,125ml,125ml,0.67247
2522,385,15ml,15ml,0.08115
2522,640,60ml,60ml,0.32460
2522,1454,30g,30g,0.30000
2523,867,1 serving,1 portion,0.20000
2523,1467,15g,15g,0.15000
2524,867,1 serving,1 portion,0.20000
2524,1467,15g,15g,0.15000
2525,867,1 serving,1 portion,0.20000
2525,1467,15g,15g,0.15000
2526,341,100ml,100ml,0.19442
2526,383,125ml,125ml,0.24303
2526,614,100ml hulled,100ml écalées,0.59175
2526,640,60ml,60ml,0.11665
2526,1307,60ml hulled,60ml écalé,0.35510
2526,1308,125ml hulled,125ml écalé,0.73968
2526,1454,30g,30g,0.30000
2527,341,100ml,100ml,0.54102
2527,383,125ml,125ml,0.67628
2527,640,60ml,60ml,0.32460
2527,1454,30g,30g,0.30000
2528,341,100ml,100ml,0.56636
2528,383,125ml,125ml,0.70795
2528,640,60ml,60ml,0.33981
2528,1454,30g,30g,0.30000
2529,341,100ml,100ml,1.08108
2529,383,125ml,125ml,0.64865
2529,385,15ml,15ml,0.16216
2529,428,30ml,30ml,0.32432
2530,341,100ml,100ml,0.27050
2530,383,125ml,125ml,0.33812
2530,385,15ml,15ml,0.05068
2530,428,30ml,30ml,0.08115
2530,867,1 serving,1 portion,0.20000
2530,1467,15g,15g,0.15000
2531,640,60ml,60ml,0.36780
2531,1454,30g,30g,0.30000
2532,1454,30g,30g,0.30000
2533,1467,15g,15g,0.15000
2533,1494,20g,20g,0.20000
2534,371,100ml slices,100ml tranches,0.40152
2534,379,100ml whole,100ml entier,0.60017
2534,612,100ml ground,100ml broyées,0.40152
2534,971,125ml slices,125ml tranches,0.50190
2534,1011,125ml whole,125ml entier,0.75021
2534,1309,60ml ground,60ml broyé,0.24091
2534,1310,125ml ground,125ml broyé,0.50190
2534,1311,60ml slices,60ml tranches,0.24091
2534,1312,60ml whole,60ml entier,0.36010
2534,1313,100ml slivered,100ml effilé,0.45647
2534,1314,60ml slivered,60ml effilé,0.27388
2534,1315,125ml slivered,125ml effilé,0.57058
2534,1316,1 almond,1 amande,0.01200
2534,1454,30g,30g,0.30000
2535,371,100ml slices,100ml tranches,0.40152
2535,379,100ml whole,100ml entier,0.61285
2535,971,125ml slices,125ml tranches,0.50190
2535,1011,125ml whole,125ml entier,0.76606
2535,1311,60ml slices,60ml tranches,0.24091
2535,1312,60ml whole,60ml entier,0.36771
2535,1316,1 almond,1 amande,0.01200
2535,1454,30g,30g,0.30000
2536,379,100ml whole,100ml entier,0.58326
2536,626,25 almonds,25 amandes,0.32216
2536,1011,125ml whole,125ml entier,0.72908
2536,1312,60ml whole,60ml entier,0.34996
2536,1454,30g,30g,0.30000
2537,379,100ml whole,100ml entier,0.66357
2537,626,25 almonds,25 amandes,0.32216
2537,1011,125ml whole,125ml entier,0.82946
2537,1312,60ml whole,60ml entier,0.39814
2537,1454,30g,30g,0.30000
2538,379,100ml whole,100ml entier,0.60017
2538,626,25 almonds,25 amandes,0.29531
2538,1011,125ml whole,125ml entier,0.75021
2538,1312,60ml whole,60ml entier,0.36010
2538,1454,30g,30g,0.30000
2539,640,60ml,60ml,0.35000
2539,1454,30g,30g,0.30000
2540,362,100ml packed,100ml pressés,0.95943
2540,1129,125ml packed,125ml pressé,1.19928
2540,1317,30ml packed,30ml pressé,0.28783
2540,1318,60ml packed,60ml pressé,0.57566
2543,1454,30g,30g,0.30000
2544,341,100ml,100ml,0.59172
2544,383,125ml,125ml,0.73965
2544,633,5 medium,5 moyennes,0.17719
2544,640,60ml,60ml,0.35503
2544,1454,30g,30g,0.30000
2545,341,100ml,100ml,0.50719
2545,383,125ml,125ml,0.63398
2545,513,1 nutmeat (shelled nut),1 noix écalée (cerneau),0.03000
2545,640,60ml,60ml,0.30431
2545,1454,30g,30g,0.30000
2546,1319,100ml whole or halves,100ml entiers ou moitiés,0.57904
2546,1320,60ml whole or halves,60ml entiers ou moitiés,0.34742
2546,1321,125ml whole or halves,125ml entiers ou moitiés,0.72380
2546,1454,30g,30g,0.30000
2547,411,20 medium nuts,20  noix moyennes,0.31500
2547,1319,100ml whole or halves,100ml entiers ou moitiés,0.54522
2547,1320,60ml whole or halves,60ml entiers ou moitiés,0.32713
2547,1321,125ml whole or halves,125ml entiers ou moitiés,0.68153
2547,1454,30g,30g,0.30000
2548,341,100ml,100ml,1.08108
2548,383,125ml,125ml,1.35135
2548,385,15ml,15ml,0.16216
2548,428,30ml,30ml,0.32432
2549,640,60ml,60ml,0.36000
2549,1454,30g,30g,0.30000
2550,640,60ml,60ml,0.39310
2550,1454,30g,30g,0.30000
2551,640,60ml,60ml,0.36000
2551,1454,30g,30g,0.30000
2552,341,100ml,100ml,0.60000
2552,640,60ml,60ml,0.36260
2552,1454,30g,30g,0.30000
2553,341,100ml,100ml,0.61285
2553,383,125ml,125ml,0.76606
2553,384,15 kernels,15 graines,0.70713
2553,640,60ml,60ml,0.36771
2553,1454,30g,30g,0.30000
2554,640,60ml,60ml,0.46330
2554,1454,30g,30g,0.30000
2555,640,60ml,60ml,0.36000
2555,1454,30g,30g,0.30000
2556,640,60ml,60ml,0.39310
2556,1454,30g,30g,0.30000
2557,43,1 chestnut,1 marron,0.07000
2557,640,60ml,60ml,0.46000
2557,1454,30g,30g,0.30000
2558,369,"100ml shredded, packed","100ml filamenté, pressé",0.54945
2558,618,"100ml shredded, not packed","100ml filamenté, non pressé",0.33812
2558,1322,"125ml shredded, not packed","125ml filamenté, non pressé",0.42265
2558,1323,"125ml shredded, packed","125ml filamenté, pressé",0.68681
2558,1454,30g,30g,0.30000
2558,1656,"60ml shredded, not packed","60ml filamenté, non pressé",0.20287
2559,383,125ml,125ml,0.48000
2559,640,60ml,60ml,0.23000
2559,1454,30g,30g,0.30000
2560,341,100ml,100ml,0.31276
2560,383,125ml,125ml,0.39096
2560,640,60ml,60ml,0.18766
2560,1454,30g,30g,0.30000
2561,341,100ml,100ml,0.32544
2561,383,125ml,125ml,0.40681
2561,640,60ml,60ml,0.19530
2561,1454,30g,30g,0.30000
2562,383,125ml,125ml,0.39130
2562,640,60ml,60ml,0.18780
2562,1454,30g,30g,0.30000
2563,341,100ml,100ml,1.01437
2563,385,15ml,15ml,0.15203
2563,428,30ml,30ml,0.30431
2563,640,60ml,60ml,0.60862
2564,341,100ml,100ml,1.25106
2564,383,125ml,125ml,1.56380
2564,385,15ml,15ml,0.19257
2564,428,30ml,30ml,0.37532
2564,640,60ml,60ml,0.75063
2565,341,100ml,100ml,0.95520
2565,383,125ml,125ml,1.19400
2565,385,15ml,15ml,0.15203
2565,640,60ml,60ml,0.57312
2566,341,100ml,100ml,1.01437
2566,383,125ml,125ml,1.26796
2566,385,15ml,15ml,0.15203
2566,640,60ml,60ml,0.60862
2567,343,100ml chopped,100ml haché,0.48605
2567,379,100ml whole,100ml entier,0.57058
2567,612,100ml ground,100ml broyées,0.31699
2567,685,10 nuts,10 noix,0.14000
2567,1011,125ml whole,125ml entier,0.71323
2567,1031,125ml chopped,125ml haché,0.60757
2567,1309,60ml ground,60ml broyé,0.19019
2567,1310,125ml ground,125ml broyé,0.39624
2567,1312,60ml whole,60ml entier,0.34235
2567,1324,60ml chopped,60ml haché,0.29163
2567,1454,30g,30g,0.30000
2568,640,60ml,60ml,0.30000
2568,685,10 nuts,10 noix,0.14000
2568,1454,30g,30g,0.30000
2569,640,60ml,60ml,0.30000
2569,1454,30g,30g,0.30000
2571,160,1 medium,1 moyen,0.02000
2571,341,100ml,100ml,0.65511
2571,640,60ml,60ml,0.39310
2571,1454,30g,30g,0.30000
2572,640,60ml,60ml,0.39060
2572,1454,30g,30g,0.30000
2573,341,100ml,100ml,0.65511
2573,383,125ml,125ml,0.81889
2573,640,60ml,60ml,0.39307
2573,1454,30g,30g,0.30000
2574,341,100ml,100ml,0.50719
2574,383,125ml,125ml,0.63398
2574,640,60ml,60ml,0.30431
2574,685,10 nuts,10 noix,0.30000
2574,1454,30g,30g,0.30000
2575,1319,100ml whole or halves,100ml entiers ou moitiés,0.56635
2575,1320,60ml whole or halves,60ml entiers ou moitiés,0.33981
2575,1321,125ml whole or halves,125ml entiers ou moitiés,0.70795
2575,1454,30g,30g,0.30000
2576,341,100ml,100ml,0.56636
2576,343,100ml chopped,100ml haché,0.50000
2576,383,125ml,125ml,0.70795
2576,640,60ml,60ml,0.33982
2576,1031,125ml chopped,125ml haché,0.62500
2576,1324,60ml chopped,60ml haché,0.30000
2576,1454,30g,30g,0.30000
2577,341,100ml,100ml,0.57904
2577,383,125ml,125ml,0.72380
2577,640,60ml,60ml,0.34742
2577,1454,30g,30g,0.30000
2578,341,100ml,100ml,0.56639
2578,383,125ml,125ml,0.70798
2578,640,60ml,60ml,0.33983
2578,1454,30g,30g,0.30000
2579,341,100ml,100ml,0.60862
2579,383,125ml,125ml,0.76078
2579,640,60ml,60ml,0.36517
2579,1454,30g,30g,0.30000
2580,341,100ml,100ml,0.47930
2580,389,175ml,175ml,0.83880
2580,415,250ml,250ml,1.19830
2580,609,100 kernels,100 graines / noix,0.29842
2580,640,60ml,60ml,0.28750
2581,990,50g,50g,0.50000
2582,334,10 halves,10 moities,0.14175
2582,343,100ml chopped,100ml haché,0.46069
2582,354,100ml halves,100ml moitiés,0.41843
2582,1007,125ml halves,125ml moitiés,0.52304
2582,1031,125ml chopped,125ml haché,0.57587
2582,1324,60ml chopped,60ml haché,0.27642
2582,1325,60ml halves,60ml moitiés,0.25106
2582,1454,30g,30g,0.30000
2583,640,60ml,60ml,0.27900
2583,1454,30g,30g,0.30000
2584,341,100ml,100ml,0.46492
2584,383,125ml,125ml,0.58115
2584,621,15 halves,15 moitiés,0.28350
2584,640,60ml,60ml,0.27895
2584,1454,30g,30g,0.30000
2585,341,100ml,100ml,0.50719
2585,383,125ml,125ml,0.63398
2585,384,15 kernels,15 graines,0.28350
2585,640,60ml,60ml,0.30431
2585,1454,30g,30g,0.30000
2586,341,100ml,100ml,0.57058
2586,383,125ml,125ml,0.71323
2586,385,15ml,15ml,0.08559
2586,640,60ml,60ml,0.34235
2586,685,10 nuts,10 noix,0.01700
2586,1454,30g,30g,0.30000
2587,640,60ml,60ml,0.30000
2587,685,10 nuts,10 noix,0.01000
2587,1454,30g,30g,0.30000
2588,341,100ml,100ml,0.51986
2588,383,125ml,125ml,0.64983
2588,640,60ml,60ml,0.31192
2588,1454,30g,30g,0.30000
2589,343,100ml chopped,100ml haché,0.52832
2589,612,100ml ground,100ml broyées,0.33812
2589,1031,125ml chopped,125ml haché,0.66040
2589,1324,60ml chopped,60ml haché,0.31699
2589,1454,30g,30g,0.30000
2590,343,100ml chopped,100ml haché,0.49451
2590,354,100ml halves,100ml moitiés,0.42265
2590,363,100ml pieces,100ml morceaux,0.50719
2590,612,100ml ground,100ml broyées,0.33812
2590,1007,125ml halves,125ml moitiés,0.52832
2590,1031,125ml chopped,125ml haché,0.61813
2590,1145,125ml pieces,125ml morceaux,0.63398
2590,1309,60ml ground,60ml broyé,0.20287
2590,1310,125ml ground,125ml broyé,0.42265
2590,1324,60ml chopped,60ml haché,0.29670
2590,1325,60ml halves,60ml moitiés,0.25359
2590,1326,60ml pieces,60ml morceaux,0.30431
2590,1454,30g,30g,0.30000
2591,1454,30g,30g,0.30000
2592,341,100ml,100ml,0.62975
2592,383,125ml,125ml,0.78719
2592,385,15ml,15ml,0.10135
2592,640,60ml,60ml,0.37785
2592,1454,30g,30g,0.30000
2593,341,100ml,100ml,1.01315
2593,383,125ml,125ml,1.26689
2593,385,15ml,15ml,0.15203
2593,428,30ml,30ml,0.30406
2594,341,100ml,100ml,0.60440
2594,383,125ml,125ml,0.75550
2594,640,60ml,60ml,0.36264
2594,960,15 chestnuts,15 marrons,1.26000
2594,1454,30g,30g,0.30000
2596,341,100ml,100ml,1.08108
2596,383,125ml,125ml,1.35135
2596,385,15ml,15ml,0.16216
2596,428,30ml,30ml,0.32432
2597,867,1 serving,1 portion,0.20000
2597,1467,15g,15g,0.15000
2598,341,100ml,100ml,0.94595
2598,383,125ml,125ml,1.18243
2598,385,15ml,15ml,0.14189
2598,428,30ml,30ml,0.28378
2599,341,100ml,100ml,0.45647
2599,383,125ml,125ml,0.57058
2599,640,60ml,60ml,0.26627
2599,1454,30g,30g,0.30000
2600,341,100ml,100ml,0.65511
2600,383,125ml,125ml,0.81889
2600,640,60ml,60ml,0.39307
2600,1454,30g,30g,0.30000
2601,341,100ml,100ml,1.01437
2601,383,125ml,125ml,1.26796
2601,385,15ml,15ml,0.15203
2601,415,250ml,250ml,2.53593
2602,1454,30g,30g,0.30000
2603,368,100ml shredded,100ml filamenté,0.39307
2603,969,125ml shredded,125ml filamenté,0.49134
2603,977,250ml shredded,250ml filamenté,0.98267
2603,1454,30g,30g,0.30000
2603,1657,60ml shredded,60ml filamenté,0.23580
2604,341,100ml,100ml,0.31276
2604,383,125ml,125ml,0.39096
2604,640,60ml,60ml,0.18766
2604,1454,30g,30g,0.30000
2605,341,100ml,100ml,1.05664
2605,383,125ml,125ml,1.32079
2605,385,15ml,15ml,0.16216
2605,428,30ml,30ml,0.32432
2607,640,60ml,60ml,0.16200
2607,1454,30g,30g,0.30000
2608,341,100ml,100ml,1.01351
2608,383,125ml,125ml,1.26689
2608,385,15ml,15ml,0.15203
2608,428,30ml,30ml,0.30405
2610,990,50g,50g,0.50000
2611,341,100ml,100ml,0.63398
2611,383,125ml,125ml,0.76606
2611,385,15ml,15ml,0.08108
2611,640,60ml,60ml,0.38039
2611,1454,30g,30g,0.30000
2612,640,60ml,60ml,0.36000
2612,1454,30g,30g,0.30000
2613,640,60ml,60ml,0.36000
2613,1454,30g,30g,0.30000
2614,640,60ml,60ml,0.36260
2614,1454,30g,30g,0.30000
2615,1454,30g,30g,0.30000
2616,379,100ml whole,100ml entier,0.60862
2616,608,100 almonds,100 amandes,0.46817
2616,1011,125ml whole,125ml entier,0.76078
2616,1312,60ml whole,60ml entier,0.36517
2616,1454,30g,30g,0.30000
2617,341,100ml,100ml,0.57904
2617,383,125ml,125ml,0.72380
2617,640,60ml,60ml,0.34742
2617,1454,30g,30g,0.30000
2618,341,100ml,100ml,0.56639
2618,383,125ml,125ml,0.70798
2618,640,60ml,60ml,0.33983
2618,1454,30g,30g,0.30000
2619,341,100ml,100ml,0.95943
2619,383,125ml,125ml,1.19928
2619,640,60ml,60ml,0.57566
2619,1454,30g,30g,0.30000
2620,341,100ml,100ml,0.54099
2620,383,125ml,125ml,0.67625
2620,640,60ml,60ml,0.32460
2620,1454,30g,30g,0.30000
2621,341,100ml,100ml,0.57058
2621,383,125ml,125ml,0.71323
2621,640,60ml,60ml,0.34235
2621,1454,30g,30g,0.30000
2622,341,100ml,100ml,0.56636
2622,383,125ml,125ml,0.70795
2622,640,60ml,60ml,0.33981
2622,1454,30g,30g,0.30000
2623,341,100ml,100ml,1.08108
2623,383,125ml,125ml,1.35135
2623,385,15ml,15ml,0.16216
2623,428,30ml,30ml,0.32432
2624,379,100ml whole,100ml entier,0.58326
2624,626,25 almonds,25 amandes,0.32216
2624,1011,125ml whole,125ml entier,0.72908
2624,1312,60ml whole,60ml entier,0.34996
2624,1454,30g,30g,0.30000
2625,379,100ml whole,100ml entier,0.66357
2625,626,25 almonds,25 amandes,0.32216
2625,1011,125ml whole,125ml entier,0.82946
2625,1312,60ml whole,60ml entier,0.39814
2625,1454,30g,30g,0.30000
2626,379,100ml whole,100ml entier,0.60017
2626,626,25 almonds,25 amandes,0.29531
2626,1011,125ml whole,125ml entier,0.75021
2626,1312,60ml whole,60ml entier,0.36010
2626,1454,30g,30g,0.30000
2627,1328,100ml halves or whole,100ml moitiés ou entier,0.57904
2627,1329,60ml halves or whole,60ml moitiés ou entier,0.34742
2627,1330,125ml halves or whole,125ml moitiés ou entier,0.72380
2627,1454,30g,30g,0.30000
2628,379,100ml whole,100ml entier,0.54945
2628,411,20 medium nuts,20  noix moyennes,0.31500
2628,1011,125ml whole,125ml entier,0.68153
2628,1312,60ml whole,60ml entier,0.32713
2628,1454,30g,30g,0.30000
2629,341,100ml,100ml,1.08108
2629,383,125ml,125ml,1.35135
2629,385,15ml,15ml,0.16216
2629,428,30ml,30ml,0.32432
2632,341,100ml,100ml,0.55790
2632,343,100ml chopped,100ml haché,0.55790
2632,640,60ml,60ml,0.33500
2632,1454,30g,30g,0.30000
2633,341,100ml,100ml,0.60862
2633,383,125ml,125ml,0.76078
2633,640,60ml,60ml,0.36517
2633,1454,30g,30g,0.30000
2635,640,60ml,60ml,0.27900
2635,1454,30g,30g,0.30000
2636,341,100ml,100ml,0.46492
2636,383,125ml,125ml,0.58115
2636,621,15 halves,15 moitiés,0.28350
2636,640,60ml,60ml,0.27895
2636,1454,30g,30g,0.30000
2637,341,100ml,100ml,0.51986
2637,383,125ml,125ml,0.64983
2637,640,60ml,60ml,0.31192
2637,1454,30g,30g,0.30000
2638,341,100ml,100ml,0.27050
2638,383,125ml,125ml,0.33812
2638,610,100 seeds,100 graines,0.33353
2638,640,60ml,60ml,0.16230
2638,1454,30g,30g,0.30000
2639,341,100ml,100ml,1.05664
2639,383,125ml,125ml,1.32079
2639,385,15ml,15ml,0.16216
2639,428,30ml,30ml,0.32432
2640,341,100ml,100ml,1.05664
2640,383,125ml,125ml,1.32079
2640,385,15ml,15ml,0.16216
2640,428,30ml,30ml,0.32432
2641,640,60ml,60ml,0.16200
2641,1454,30g,30g,0.30000
2642,341,100ml,100ml,0.57058
2642,383,125ml,125ml,0.71323
2642,640,60ml,60ml,0.34235
2642,1454,30g,30g,0.30000
2643,341,100ml,100ml,1.01437
2643,383,125ml,125ml,1.26796
2643,385,15ml,15ml,0.15203
2643,415,250ml,250ml,2.53593
2643,640,60ml,60ml,0.30406
2644,341,100ml,100ml,0.51986
2644,383,125ml,125ml,0.64983
2644,636,50 kernels,50 graines/noix,0.30160
2644,640,60ml,60ml,0.31192
2644,1454,30g,30g,0.30000
2645,341,100ml,100ml,0.27050
2645,383,125ml,125ml,0.33812
2645,610,100 seeds,100 graines,0.33353
2645,640,60ml,60ml,0.16230
2645,1454,30g,30g,0.30000
2650,1489,125g,125g,1.25000
2651,348,100ml diced,100ml en dés,0.59172
2651,1124,250ml chopped or diced,250ml haché ou en dés,1.47929
2651,1455,100g,100g,1.00000
2651,1496,75g,75g,0.75000
2652,348,100ml diced,100ml en dés,0.59172
2652,1124,250ml chopped or diced,250ml haché ou en dés,1.47929
2652,1455,100g,100g,1.00000
2652,1496,75g,75g,0.75000
2653,1489,125g,125g,1.25000
2654,1122,100ml chopped or diced,100ml haché ou en dés,0.61285
2654,1124,250ml chopped or diced,250ml haché ou en dés,1.53212
2654,1455,100g,100g,1.00000
2655,348,100ml diced,100ml en dés,0.59172
2655,1124,250ml chopped or diced,250ml haché ou en dés,1.47929
2655,1455,100g,100g,1.00000
2656,348,100ml diced,100ml en dés,0.53270
2656,1124,250ml chopped or diced,250ml haché ou en dés,1.33175
2656,1455,100g,100g,1.00000
2657,348,100ml diced,100ml en dés,0.53270
2657,1124,250ml chopped or diced,250ml haché ou en dés,1.33175
2657,1455,100g,100g,1.00000
2658,1489,125g,125g,1.25000
2659,1122,100ml chopped or diced,100ml haché ou en dés,0.56640
2659,1124,250ml chopped or diced,250ml haché ou en dés,1.41600
2659,1455,100g,100g,1.00000
2660,1489,125g,125g,1.25000
2660,502468,,,0.90000
2661,1489,125g,125g,1.25000
2661,502468,,,0.90000
2662,1122,100ml chopped or diced,100ml haché ou en dés,0.56640
2662,1124,250ml chopped or diced,250ml haché ou en dés,1.41600
2662,1455,100g,100g,1.00000
2662,1496,75g,75g,0.75000
2663,1489,125g,125g,1.25000
2664,1122,100ml chopped or diced,100ml haché ou en dés,0.56640
2664,1124,250ml chopped or diced,250ml haché ou en dés,1.41600
2664,1455,100g,100g,1.00000
2665,1573,10g,10g,0.10000
2666,1489,125g,125g,1.25000
2666,502468,,,0.90000
2667,1122,100ml chopped or diced,100ml haché ou en dés,0.56640
2667,1124,250ml chopped or diced,250ml haché ou en dés,1.41600
2667,1455,100g,100g,1.00000
2667,1496,75g,75g,0.75000
2668,1489,125g,125g,1.25000
2668,502468,,,0.90000
2669,1122,100ml chopped or diced,100ml haché ou en dés,0.56640
2669,1124,250ml chopped or diced,250ml haché ou en dés,1.41600
2669,1455,100g,100g,1.00000
2669,1496,75g,75g,0.75000
2670,1489,125g,125g,1.25000
2676,1489,125g,125g,1.25000
2676,502468,,,0.90000
2683,1455,100g,100g,1.00000
2685,344,100ml crumbled,100ml émietté,0.51990
2685,975,250ml crumbled,250ml émietté,1.29970
2685,1579,60g,60g,0.60000
2687,344,100ml crumbled,100ml émietté,0.51990
2687,975,250ml crumbled,250ml émietté,1.29970
2687,1579,60g,60g,0.60000
2689,344,100ml crumbled,100ml émietté,0.51990
2689,975,250ml crumbled,250ml émietté,1.29970
2689,1579,60g,60g,0.60000
2690,1455,100g,100g,1.00000
2690,502468,,,0.90000
2692,344,100ml crumbled,100ml émietté,0.51990
2692,975,250ml crumbled,250ml émietté,1.29970
2692,1496,75g,75g,0.75000
2692,1579,60g,60g,0.60000
2694,344,100ml crumbled,100ml émietté,0.51990
2694,975,250ml crumbled,250ml émietté,1.29970
2694,1579,60g,60g,0.60000
2696,344,100ml crumbled,100ml émietté,0.51990
2696,975,250ml crumbled,250ml émietté,1.29970
2696,1496,75g,75g,0.75000
2696,1579,60g,60g,0.60000
2698,344,100ml crumbled,100ml émietté,0.51990
2698,975,250ml crumbled,250ml émietté,1.29970
2698,1496,75g,75g,0.75000
2698,1579,60g,60g,0.60000
2700,344,100ml crumbled,100ml émietté,0.49028
2700,975,250ml crumbled,250ml émietté,1.22570
2700,1496,75g,75g,0.75000
2700,1579,60g,60g,0.60000
2702,344,100ml crumbled,100ml émietté,0.49028
2702,975,250ml crumbled,250ml émietté,1.22570
2702,1496,75g,75g,0.75000
2702,1579,60g,60g,0.60000
2704,344,100ml crumbled,100ml émietté,0.49028
2704,975,250ml crumbled,250ml émietté,1.22570
2704,1496,75g,75g,0.75000
2704,1579,60g,60g,0.60000
2705,245,1 slice,1 tranche,0.22667
2705,1467,15g,15g,0.15000
2706,256,1 slice (11 per 175g package),1 tranche (11 par 175g paquet),0.07955
2706,267,1 slice (17 per 375g package),1 tranche (17 par 375g paquet),0.11029
2706,363,100ml pieces,100ml morceaux,0.33812
2706,1146,250ml pieces,250ml morceaux,0.67625
2706,1454,30g,30g,0.30000
2707,245,1 slice,1 tranche,0.02800
2707,341,100ml,100ml,0.51141
2707,415,250ml,250ml,1.27853
2707,1461,55g,55g,0.55000
2707,1496,75g,75g,0.75000
2707,1652,35g,35g,0.35000
2708,271,1 slice (6 per 175g package),1 tranche (6 par 175g paquet),0.29167
2708,273,1 slice (8 per 175g package),1 tranche (8 par 175g paquet),0.21875
2708,363,100ml pieces,100ml morceaux,0.59172
2708,1146,250ml pieces,250ml morceaux,1.47929
2708,1461,55g,55g,0.55000
2708,1496,75g,75g,0.75000
2712,348,100ml diced,100ml en dés,0.56640
2712,976,250ml diced,250ml en dés,1.41600
2712,1455,100g,100g,1.00000
2712,1496,75g,75g,0.75000
2713,1122,100ml chopped or diced,100ml haché ou en dés,0.56640
2713,1124,250ml chopped or diced,250ml haché ou en dés,1.41600
2713,1455,100g,100g,1.00000
2713,1496,75g,75g,0.75000
2786,1455,100g,100g,1.00000
2786,502468,,,0.90000
2787,1489,125g,125g,1.25000
2788,1489,125g,125g,1.25000
2789,1470,85g,85g,0.85000
2789,502468,,,0.90000
2790,403,2 slices,2 tranches,0.56000
2790,1122,100ml chopped or diced,100ml haché ou en dés,0.56640
2790,1124,250ml chopped or diced,250ml haché ou en dés,1.41600
2790,1461,55g,55g,0.55000
2790,1496,75g,75g,0.75000
2791,245,1 slice,1 tranche,0.21000
2791,348,100ml diced,100ml en dés,0.56640
2791,976,250ml diced,250ml en dés,1.41600
2791,1461,55g,55g,0.55000
2791,1496,75g,75g,0.75000
2792,174,1 package,1 paquet,1.25000
